0.14,0.134173,0.127487,0.11972,0.47862,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.14,0.134173,0.127487,0.11972,0.278394,0.200226,-1,-1,-1,-1,-1,-1,-1,-1
0.14,0.134173,0.127487,0.11972,0.148386,0.260016,0.070218,-1,-1,-1,-1,-1,-1,-1
0.125,0.122289,0.118909,0.114621,0.0724341,0.257408,0.167432,0.0219075,-1,-1,-1,-1,-1,-1
0.105,0.105404,0.105555,0.105281,0.0221665,0.196105,0.267447,0.0868447,0.00619709,-1,-1,-1,-1,-1
0.09,0.0920043,0.0940866,0.0961804,-1,0.0862444,0.297661,0.205496,0.0368355,0.00149175,-1,-1,-1,-1
0.075,0.0780067,0.0813785,0.0851655,-1,-1,0.197243,0.341095,0.128807,0.0130084,0.000295753,-1,-1,-1
0.06,0.0634404,0.0674459,0.0721683,-1,-1,-1,0.344657,0.320976,0.06747,0.00379623,4.64223e-05,-1,-1
0.045,0.0483323,0.0523118,0.0571528,-1,-1,-1,-1,0.507184,0.258983,0.0301209,0.000909374,5.40307e-06,-1
0.03,0.0327073,0.0360044,0.0401092,-1,-1,-1,-1,-1,0.659047,0.18991,0.0120438,0.000178479,3.88536e-07
0.02,0.0220152,0.0244967,0.027625,-1,-1,-1,-1,-1,-1,0.775877,0.125981,0.00398375,2.16577e-05
0.015,0.0165891,0.0185557,0.0210489,-1,-1,-1,-1,-1,-1,-1,0.86102,0.0670408,0.000745502
0.01,0.0111107,0.0124917,0.0142518,-1,-1,-1,-1,-1,-1,-1,-1,0.928792,0.0233542
0.005,0.00558073,0.00630603,0.007235,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.975878
